name,hasAnnotation,hasSentence,Example.Construction,label,comment
Example_3534,['stock market has gone down'],"['the U.S. stock market has gone down roughly 50 percent', 'I mean', 'twice.', 'in the past 20 years']",['Subject(T) Verb(S)'],"['I mean, in the past 20 years, the...']",
Example_3873,,"['cultural', 'In order to achieve this aim the school facilitates the intellectual', 'physical', 'emotional and moral growth of each student.']",['Adjective(T) Noun(S)'],['In order to achieve this aim the...'],['moral growth']
Example_953,['past is lost'],"['knowing the past is lost and the only action he can possibly take now is to write', 'Rather', 'Brodsky is resolute']",['Noun(T) copula Adjective(S)'],"['Rather, Brodsky is resolute, knowing...']",
Example_2579,['government leads'],['...they refuse to fund the pro-constitution campaign unless the government leads the way.'],['Subject(T) Verb(S)'],['...they refuse to fund the pro-constitution...'],
Example_2737,['gun addicts'],['Canadian Gun Addicts'],"[""Noun's(T) Noun(S)""]",['Canadian Gun Addicts'],
Example_700,['bureaucrats forge'],['It is cliché by now to note that well-intentioned bureaucrats forge the bars of the Iron Cage.'],['Subject(T) Verb(S)'],['It is cliché by now to note that...'],
Example_549,['smelled a rat'],['Readers commenting on the story smelled a rat'],['Verb(S) Direct Object(T)'],['Readers commenting on the story...'],
Example_4612,,"[""He's over the hill.""]",,"[""He's over the hill.""]",
Example_753,['cancer journey'],"['strange trip this cancer journey can be.', 'What a long']","[""Noun's(T) Noun(S)""]","['What a long, strange trip this...']",
Example_345,['amount of poverty'],"['America is the richest democracy with a massive amount of poverty', 'especially in relation to how much wealth there is.']",['Subject(T) Verb(S)'],['America is the richest democracy...'],
Example_2907,,['He is the father of modern biology.'],,['He is the father of modern bio...'],
Example_2222,,['Do I need to spell it out for you?'],,['Do I need to spell it out for ...'],
Example_389,"[""diagnose society's problems""]",['most sociologists try to diagnose society’s problems'],['Verb(S) Direct Object(T)'],['most sociologists try to diagnose...'],
Example_2641,,['And regulations stemming from the Dodd-Frank act could put significant curbs on the activity of big banks.'],,['And regulations stemming from the...'],
Example_5608,['fell into depression'],"['she fell into a depression', ""When the financial pressure of the pandemic forced Kourtney Belisle's fitness studio to close permanently last year""]",['Verb(S) preposition Noun(T)'],['When the financial pressure of...'],
Example_1454,['income tax is the shackle'],"['In a sense', 'income tax is the shackle that holds the chains of slavery together']",['Noun(T) copula Noun(S)'],"['In a sense, income tax is the shackle...']",
Example_1572,,"['and we\'ll know as soon as the [auditor general] is able to express an opinion.""', '""I believe that they\'re coming very close to success']",,"['""I believe that they\'re coming...']",['close to success']
Example_1824,['gave him perspective'],['Virtual Radio Row: Christian McCaffrey explains how his injury gave him perspective'],['Verb(S) Direct Object(T)'],['Virtual Radio Row: Christian McCaffrey...'],
Example_5475,['violence spills'],"[""as the country's long-running drug violence spills over into its national election campaign."", 'Democracy is under siege in Mexico']",['Subject(T) Verb(S)'],"['Democracy is under siege in Mexico,...']",
Example_394,['diagnose social problems'],"['while BF199 looks at ways that contemporary people diagnose social problems and articulate responses to them.', 'BF190 introduces key ideas that shape the way modern people understand themselves and make sense of their world']",['Verb(S) Direct Object(T)'],['BF190 introduces key ideas that...'],
Example_2821,['spirits soaring'],['$10-million gift has\xa0spirits soaring\xa0at Toronto Symphony Orchestra.'],['Subject(T) Verb(S)'],['$10-million gift has\xa0spirits soaring\xa0at...'],
Example_1489,,"['allows him to rest easy and concentrate on what he does best: build beautiful homes for his clients.', 'knowing that he’s not concentrated in a sector and that his wealth is spread out', 'Ultimately']",,"['Ultimately, knowing that he’s not...']",['wealth is spread out']
Example_3410,['employees are your best resource'],"['so keep your door—and ears—open for them.', 'Your employees are your best resource for engagement improvement initiatives']",['Noun(T) copula Noun(S)'],['Your employees are your best resource...'],
Example_2844,,"[""But there's good news: you can perk\xa0up\xa0in as little as 15 minutes.""]",,"[""But there's good news: you can...""]",
Example_3730,,"['At Wise Mind Creations', ""Drass begins each workshop with a warm-up activity of creating one's own mandala""]",,"['At Wise Mind Creations, Drass begins...']",['warm-up activity']
Example_1114,,"['Ford pointed to the 33 million rapid tests already distributed by his government…', 'When asked why rapid tests aren’t free for all Ontarians']",,['When asked why rapid tests aren’t...'],
Example_3693,,['Understanding how market cycles work can help you maintain perspective during times of uncertainty so you can focus on your investment plan'],['Subject(T) Verb(S)'],['Understanding how market cycles...'],['market cycles']
Example_4099,['stabs of guilt'],['I felt stabs of guilt for not visiting more often.'],['Noun(S) of Noun(T)'],['I felt stabs of guilt for not visiting...'],
Example_424,,"['When the up threw him out of the game', 'Billy started foaming at the mouth.']",,['When the up threw him out of the...'],
Example_1396,['attacked his idea'],['I also erroneously attacked his idea that the market was at a bottom then.'],['Verb(S) Direct Object(T)'],['I also erroneously attacked his...'],
Example_648,['freedom money buys'],"[""relax and hop off life's treadmill."", 'Others define ""wealth"" in more ephemeral terms: the freedom money buys them to finally unwind']",['Subject(T) Verb(S)'],"['Others define ""wealth"" in more...']",
Example_3980,['steering the country'],['Biden doesn’t get the credit he deserves for steering the country through the worst of the pandemic'],['Verb(S) Direct Object(T)'],['Biden doesn’t get the credit he...'],
Example_2168,,['Speaking about that world can carry a price tag paid in blood.'],,['Speaking about that world can carry...'],
Example_2278,['holds on to power'],['Justin Trudeau holds on to power with help from the one party that doesn’t want it.'],['Verb(S) preposition Noun(T)'],['Justin Trudeau holds on to power...'],
Example_3383,,"[""Some ads work best when you can't tell what they're selling""]",,"[""Some ads work best when you can't...""]",
Example_3130,['locked out of learning'],['No longer locked out of learning'],['Verb(S) preposition Noun(T)'],['No longer locked out of learni...'],
Example_5026,['build a group'],"[""This is especially true if you're no longer in university or college and you no longer have a firm place to build a group of friends.""]",['Verb(S) Direct Object(T)'],"[""This is especially true if you're...""]",
Example_1853,['pawn in the election'],['The Affordable Care Act (ACA) was a major pawn in the election'],['Noun(S) preposition Noun(T)'],['The Affordable Care Act (ACA) was...'],
Example_604,['lower end of the income scale'],"['When the government says ""affordable housing', '"" it typically means affordable for households in the middle or the lower end of the income scale.']",['Noun(S) of Noun(T)'],"['When the government says ""affordable...']",
Example_504,['connect with mentors'],['Connect with mentors and youth.'],['Verb(S) preposition Noun(T)'],['Connect with mentors and youth...'],
Example_1577,,"['Far from being financially strapped', 'young Canadians are the wealthiest such generation ever', 'says a federal finance department report.']",,"['Far from being financially strapped,...']",['far from being financially strapped']
Example_5559,,"['Maybaum says all of the administration was necessary when AHS started up five years ago', 'to make sure everything was running smoothly.']",,['Maybaum says all of the administration...'],
Example_2735,['gun addicts'],['All the guns and security he bragged about made him a self made target to gun addicts just like him.'],['Noun(T) Noun(S) Compound'],['All the guns and security he bragged...'],
Example_2983,,"['he committed to only very recently', 'advisers tell CNN', 'an acknowledgment that the stigma around the term could be holding him back from truly challenging Hillary Clinton for the Democratic nomination', 'This is a speech']",,"['This is a speech, advisers tell...']",['holding him back from challenging']
Example_3490,['acquired an intimate knowledge'],"['which now helped her to travel quickly.', 'She had acquired an intimate knowledge of the terrain']",['Verb(S) Direct Object(T)'],['She had acquired an intimate knowledge...'],
Example_3236,['Canada leads'],['Canada leads world with pledge to curb methane leaks from oil and gas sector'],['Subject(T) Verb(S)'],['Canada leads world with pledge...'],
Example_3516,,['Do you want to learn how the Legislature operates?'],['Subject(T) Verb(S)'],['Do you want to learn how the Legislature...'],['legislature operates']
Example_2078,,['One analysis suggests that 50 per cent of all animal life on earth has\xa0disappeared\xa0in the last 40 years.'],,['One analysis suggests that 50 per...'],
Example_3712,,"[""I've said before that the path to financial success is really simple"", 'just not easy.']",['Noun(S) preposition Noun(T)'],"[""I've said before that the path...""]",['path to financial success']
Example_252,['supporting a carbon tax'],['How Conservatives came around to supporting a carbon tax'],['Verb(S) Direct Object(T)'],['How Conservatives came around to...'],
Example_54,['jockeying for position'],['This sort of jockeying for position is understandable and expected.'],['Verb(S) preposition Noun(T)'],['This sort of jockeying for position...'],
Example_2999,,['Or has credit card debt become a regular occurrence in your life and you’re just looking for a way out?'],,['Or has credit card debt become...'],['looking for a way']
Example_3390,['find the truth'],['A desire to find the truth has led to a crisis of trust'],['Verb(S) Direct Object(T)'],['A desire to find the truth has...'],
Example_4758,['regulations lead to'],['This implicitly recognizes that regulations lead to inefficient producers and higher prices.'],['Subject(T) Verb(S)'],['This implicitly recognizes that...'],
Example_4730,['educational resources'],['...getting educational resources into the hands of underserved kids.'],['Adjective(T) Noun(S)'],['...getting educational resources...'],
Example_1561,,"['We’re just two weeks removed from the New Orleans Saints’ shutout win against the Las Vegas Raiders', 'but a brutal double-digit loss to the Baltimore Ravens has made that highlight seem like it’s a million miles away.']",,['We’re just two weeks removed from...'],['feels a million miles away']
Example_5551,,['And the peace of mind? Priceless.'],,['And the peace of mind? Pricele...'],
Example_1319,['corruption is the disease'],['“Corruption is the disease of human society which harms the justice and development of the entire society. It has to be eliminated.”'],['Noun(T) copula Noun(S)'],['“Corruption is the disease of human...'],
Example_3911,,['Only one thing stands between Western civilization and chaos: the United States.'],,['Only one thing stands between Western...'],
Example_1989,['gave us the right'],['We had a business plan that was based on contracts that gave us the right to forestry supply levels that we thought were stable and predictable in the long term.'],['Verb(S) Direct Object(T)'],['We had a business plan that was...'],
Example_4615,,"['is Superman over the hill?', 'At 75']",,"['At 75, is Superman over the hi...']",
Example_4711,['has brains'],"[""Calgary's Maria Samson has got brains and brawn aplenty.""]",['Verb(S) Direct Object(T)'],"[""Calgary's Maria Samson has got...""]",
Example_4370,['contain her excitement'],"['On the other hand', 'in the stands', ""Manoah's mom was unable to contain her excitement while watching her son perform.""]",['Verb(S) Direct Object(T)'],"['On the other hand, in the stands,...']",
Example_4767,['closely related'],"['Although the Calgary Police Service (CPS) did not give details of the allegations faced by MacNeil', 'sources say the new offence is closely related to her previous behaviour.']",['Adjective(S) Noun(T)'],['Although the Calgary Police Service...'],
Example_1163,['compulsive force'],"['have a compulsive force of their own.', 'however', 'Legal rules do']",['Adjective(T) Noun(S)'],"['Legal rules do, however, have a...']",
Example_2871,,"[""Experts who study it say that play is intrinsic to children's natures"", 'but still needs support and attention from the adults around them.']",,['Experts who study it say that play...'],
Example_4178,['bright side of life'],['One must always look on the bright side of life.'],['Noun(S) preposition Noun(T)'],['One must always look on the bright...'],
Example_2452,['buttress our rights'],['We all cherish the values of fairness and justice that buttress our rights.'],['Verb(S) Direct Object(T)'],['We all cherish the values of fairness...'],
Example_3929,"[""country's eyes""]","[""the country's eyes will be on Hamilton as jury selection begins in one of the highest profile cases in the area's history."", 'And so']","[""Noun's(T) Noun(S)""]","[""And so, the country's eyes will...""]",
Example_436,['contain rising public anger'],['China is struggling to contain rising public anger over its response to a spreading coronavirus even as it took unprecedented steps to slow the outbreak…'],['Verb(S) Direct Object(T)'],['China is struggling to contain...'],
Example_1462,['tax relief'],"['the city established a tax relief program that has cost around $86 million over the past two years.', 'To help ease the burden on businesses']",['Noun(T) Noun(S) Compound'],"['To help ease the burden on businesses,...']",
Example_3778,['money fuels'],"[""Canadians' mortgage debt ramping up fast as cheap money fuels leap in luxury home prices""]",['Subject(T) Verb(S)'],"[""Canadians' mortgage debt ramping...""]",
Example_12,['government should be transparent'],['Government should be transparent. Transparency promotes accountability and provides information for citizens about what their Government is doing.'],['Noun(T) copula Adjective(S)'],['Government should be transparent....'],
Example_1469,,"[""Why Manitoba's middle-of-the-road economy cannot weather a pandemic""]",,"[""Why Manitoba's middle-of-the-road...""]",
Example_4895,,"['Things are going well', 'you’re having a ton of fun', 'and suddenly these thoughts creep in… is this serious? And where do we go from here?']",,"['Things are going well, you’re having...']",
Example_1780,['education built'],['But it has to be education built on the knowledge base of the early childhood field'],['Subject(T) Verb(S)'],['But it has to be education built...'],
Example_3689,,"['which is driven by business and economic conditions.', 'Market cycles include four phases of market growth and decline']",['Subject(T) Verb(S)'],['Market cycles include four phases...'],['market cycles']
Example_286,['light\xa0on the Kamloops residential school discovery'],['Shedding\xa0new\xa0light\xa0on the Kamloops residential school discovery'],['Noun(S) preposition Noun(T)'],['Shedding\xa0new\xa0light\xa0on the Kamloops...'],
Example_4483,['immaculate action'],"[""I will congratulate 'The Donald' on an immaculate action..."", 'In the meantime']",['Adjective(S) Noun(T)'],"['In the meantime, I will congratulate...']",
Example_4253,['taste in friends'],"['most of whom are artists', 'I know she has good taste in friends', 'and the things that she makes feel like they came out of my own head.']",['Noun(S) preposition Noun(T)'],"['I know she has good taste in friends,...']",
Example_2911,,['His ideas will live on forever.'],,['His ideas will live on forever...'],
Example_1327,['wave of corruption'],"['we need a new institution to fight it properly.', 'Because this wave of corruption is new']",['Noun(S) of Noun(T)'],['Because this wave of corruption...'],
Example_5570,['body possesses'],"['a record of all the experiences of human life.', 'The body possesses an enormous memory']",['Subject(T) Verb(S)'],['The body possesses an enormous...'],
Example_1146,,"['and he’s widening the distance.', 'He’s a better writer than I am']",,"['He’s a better writer than I am,...']",
Example_4161,,"[""Can conservative Carol Swain's bid for mayor find a path in Democratic Nashville?""]",,"[""Can conservative Carol Swain's...""]",
Example_2990,,"['Speaking of being in great financial shape', 'you should know that credit card debt is the nemesis of financial security']",['Noun(S) of Noun(T)'],['Speaking of being in great financial...'],['nemesis of financial security']
Example_2100,,['I’m not going to lie — I was close to tears.'],,['I’m not going to lie — I was close...'],['close to tears']
Example_3858,,"[""I'm sure your strong moral fiber and sense of societal rectitude will help you withstand the siren song of full-fat dairy.""]",['Adjective(T) Noun(S)'],"[""I'm sure your strong moral fiber...""]",['moral fiber']
Example_4082,['an anxiety attack'],['An anxiety attack can put a halt to your day pretty quickly.'],['Noun(T) Noun(S) Compound'],['An anxiety attack can put a halt...'],
Example_1635,,['A 30-year low in turkey stocks could make it hard to find ‘perfect bird’ for Christmas dinner.'],,['A 30-year low in turkey stocks...'],
Example_4062,['mother nature'],"['Mother nature is angry', ""and she's telling us.""]",['Noun(T) Noun(S) Compound'],"[""Mother nature is angry, and she's...""]",
Example_684,['bureaucrats inside the system'],"['""...the actual little cogs in the wheels to turn those wheels are turned by the bureaucrats inside the system.""']",['Noun(T) copula preposition Noun(S)'],"['""...the actual little cogs in the...']",
Example_2047,['dark-hearted mercenaries'],"['dark-hearted mercenaries', 'corrupt politicians', 'ruthless billionaires whose reach extends to every industry', 'It involves shadowy alliances']",['Adjective(S) Noun(T)'],"['It involves shadowy alliances,...']",
Example_3792,,['Warning bells have rung for years over the risk of American money flowing into Canadian politics.'],['Subject(T) Verb(S)'],['Warning bells have rung for years...'],['money flowing']
Example_2712,['gun control harms good citizens'],"['Gun control harms good citizens', 'criminals do not respect any law.']",['Verb(S) Direct Object(T)'],"['Gun control harms good citizens,...']",
Example_5211,['taxes are killing'],['New York taxes are killing me.'],['Subject(T) Verb(S)'],['New York taxes are killing me.'],
Example_4162,,['Here are four realistic paths to a million-dollar retirement.'],,['Here are four realistic paths to...'],
Example_1731,['finances are hurting'],['Not everyone was surprised that Alberta finances are hurting from dropping oil revenues'],['Subject(T) Verb(S)'],['Not everyone was surprised that...'],
Example_4739,['slash funding'],"[""Seneca looking at 'other means' to build Markham campus after PCs slash funding"", 'York U']",['Verb(S) Direct Object(T)'],"[""York U, Seneca looking at 'other...""]",
Example_713,,"[""powerless to resist Hitler's orders. He claimed he was blinded by his ideology."", 'But as he wrote in his prison cell', 'Eichmann portrays himself as only a small cog in a giant machine', 'waiting for an Israeli court to order his execution']",,"['But as he wrote in his prison cell,...']",
Example_3021,['mired in debt'],"['files for bankruptcy protection', 'mired in debt', 'Revlon']",['Verb(S) preposition Noun(T)'],"['Revlon, mired in debt, files for...']",
Example_1830,,['Optimists view the financial distress as a chance to cut the fat from government'],,['Optimists view the financial distress...'],
Example_3885,,"['and recognize the limits of the natural moral order', 'deeply situated in the dignity of the human person.', 'which promises us a truly human future', 'We must insist upon virtuous character in the scientist and physician']",['Adjective(S) Noun(T)'],['We must insist upon virtuous character...'],['natural moral order']
Example_3014,['black hole of poverty'],['She uses her experiences of not being able to make ends meet to argue that the poor live in a black hole of poverty that they cannot dig themselves out of.'],['Noun(S) of Noun(T)'],['She uses her experiences of not...'],
Example_3080,,"[""The First Baptist Church in Halifax says caring for the environment is central to the church's beliefs""]",,['The First Baptist Church in Halifax...'],
Example_3709,,['Some reflections on pathways out of poverty'],['Noun(S) preposition Noun(T)'],['Some reflections on pathways out...'],['pathways out of poverty']
Example_4454,,"['playing the game well has additional rewards', 'including future lucrative jobs in the private sector', 'For corporate Democrats']",,"['For corporate Democrats, playing...']",['playing the game']
Example_528,['government has a responsibility'],"['As public trust in the federal government remains low', 'Americans continue to say the federal government has a responsibility to provide support and services for all Americans in a number of forms.']",['Subject(T) Verb(S)'],['As public trust in the federal...'],
Example_792,['stable career'],"['Due to a competitive\xa0job\xa0market', 'Weng struggled to find a\xa0stable career...']",['Adjective(S) Noun(T)'],"['Due to a competitive\xa0job\xa0market,...']",
Example_2711,,['the gun lobby has squashed federal funding'],,['the gun lobby has squashed federal...'],
Example_3962,['India functions'],['an India that functions smoothly'],['Subject(T) Verb(S)'],['an India that functions smooth...'],
Example_1662,['stepping down as chief executive'],['Medium said that Mr. Williams would be stepping down as chief executive effective July 20 and that he would be replaced by Tony Stubblebine'],['Verb(S) preposition Noun(T)'],['Medium said that Mr. Williams would...'],
Example_842,['pushed down into poverty'],"['political', 'and economic structures.', 'Many groups have been unfairly pushed down into poverty by warped social']",['Verb(S) preposition Noun(T)'],['Many groups have been unfairly...'],
Example_2299,,"[""Just when it seemed that the reputation of Britain's tabloid press couldn't sink any lower"", 'up pops Paul McMullen', ""a former deputy features editor at Rupert Murdoch's now-defunct News of the World.""]",['Subject(T) Verb(S)'],['Just when it seemed that the reputation...'],['sink any lower']
Example_4593,['closing off education'],"['...policy that is costing Americans jobs', 'closing off education and limiting health care.']",['Verb(S) Direct Object(T)'],['...policy that is costing Americans...'],
Example_2031,['Government secrecy stinks'],['Government secrecy stinks of recklessness'],['Subject(T) Verb(S)'],['Government secrecy stinks of r...'],
Example_3715,['imprinted in my mind'],['Their smiles and guiltless laughter are imprinted in my mind forever.'],['Verb(S) preposition Noun(T)'],['Their smiles and guiltless laughter...'],
Example_515,['grasp control'],"['His civilian successors never got a handle on the army and', ""couldn't grasp control of the state."", 'worse']",['Verb(S) Direct Object(T)'],['His civilian successors never got...'],
Example_955,['rid of headache'],['Why not get rid of headache pain?'],['Verb(S) preposition Noun(T)'],['Why not get rid of headache pa...'],
Example_5360,['action has arrived'],['The time for action has arrived.'],['Subject(T) Verb(S)'],['The time for action has arrive...'],
Example_2408,['rights crumble'],['What are we to take from this council motion? That our rights can crumble on the flimsiest of excuses…?'],['Subject(T) Verb(S)'],['What are we to take from this council...'],
Example_447,['bubbling emotions'],"['bubbling emotions that are just intolerable for them', 'These are kids that have rage', 'anger']",['Adjective(S) Noun(T)'],"['These are kids that have rage,...']",
Example_471,['verbal combat'],['We also seem to want our politicians to engage in verbal combat — while expecting them to fight fair.'],['Adjective(T) Noun(S)'],['We also seem to want our politicians...'],
Example_1220,['eat up house savings'],"['Commuting costs eat up house savings in many GTA communities', 'study finds']",['Verb(S) preposition Noun(T)'],['Commuting costs eat up house savings...'],
Example_347,['amount of poverty'],"['I was disappointed to learn that proceeds received from the Food for Progress program will be going to other South American countries and not Colombia.', 'After witnessing the vast amount of poverty']",['Noun(S) of Noun(T)'],['After witnessing the vast amount...'],
Example_3787,,['A cash flow statement is a financial statement that summarizes the amount of cash flowing into and out of a company.'],['Noun(T) Noun(S) Compound'],['A cash flow statement is a financial...'],['cash flow']
Example_297,['wave of violence'],['Iraq: More Bombings Add to a Wave of Violence'],['Noun(S) of Noun(T)'],['Iraq: More Bombings Add to a Wave...'],
Example_1769,['economic machine'],"[""The growth engines driving Hamilton's\xa0economic machine\xa0will be the manufacturing sector and non-residential construction""]",['Adjective(T) Noun(S)'],"[""The growth engines driving Hamilton's\xa0economic...""]",
Example_3398,['grasp the concept'],"['From a developmental standpoint', 'even young children begin to\xa0grasp the concept\xa0of death and permanency.']",['Verb(S) Direct Object(T)'],"['From a developmental standpoint,...']",
Example_3644,['travelers weighing up'],['...has always presented dilemmas for travelers weighing up whether their trip will support what has in the past been labeled an oppressive regime...'],['Subject(T) Verb(S)'],['...has always presented dilemmas...'],
Example_2354,['fiscal house'],['America should desperately get its fiscal house in order'],['Adjective(S) Noun(T)'],['America should desperately get...'],
Example_4565,,"['you need to leave him.', ""He's holding you back""]",,"[""He's holding you back, you need...""]",
Example_1594,['rival ideologies'],['Hartz has argued correctly that it is characteristic of fragment societies to be intolerant of rival ideologies.'],['Adjective(S) Noun(T)'],['Hartz has argued correctly that...'],
Example_5266,['taxes are the dues'],"['taxes are the dues we pay to live in a functioning society', 'More important']",['Noun(T) copula Noun(S)'],"['More important, taxes are the dues...']",
Example_4306,,['His amazing musical performance ignited our delight.'],,['His amazing musical performance...'],
Example_4521,['poverty grows'],"['and the cycle of working poverty persists', ""” the agency's director-general"", '“The number of young people stuck in working poverty grows']",['Subject(T) Verb(S)'],['“The number of young people stuck...'],
Example_1716,['falling to violence or crime'],"['as well as together.', 'and that prevention and police work can happen at the same time', 'City councillor Alain Vaillancourt responded that the issue of violence needs to be addressed as quickly as possible and as strongly as possible to avoid the Montreal youth falling to violence or crime']",['Verb(S) preposition Noun(T)'],['City councillor Alain Vaillancourt...'],
Example_1894,['inflamed controversy'],['It’s no surprise that the government’s recovery plan has inflamed controversy.'],['Verb(S) Direct Object(T)'],['It’s no surprise that the government’s...'],
Example_327,['drowning in gun violence'],"['Our country is increasingly drowning in gun violence—in everything including suicide', 'interpersonal violence', 'and mass shootings']",['Verb(S) preposition Noun(T)'],['Our country is increasingly drowning...'],
Example_2905,['solid idea'],"['"" said Sanghavi.', '""I thought it was a solid idea']",['Adjective(S) Noun(T)'],"['""I thought it was a solid idea,""...']",
Example_5066,['crime epidemic'],"[""How Lead Caused America's Violent Crime Epidemic""]",['Noun(T) Noun(S) Compound'],"[""How Lead Caused America's Violent...""]",
Example_959,['went crazy'],['He went crazy.'],['Verb(S) Direct Object(T)'],['He went crazy.'],
Example_4880,['relationship on the rocks'],['Ottawa Couple’s Counselling: Not Just for When the Relationship is on the Rocks'],['Noun(T) copula preposition Noun(S)'],['Ottawa Couple’s Counselling: Not...'],
Example_4410,['Democrats pushing'],"[""no buy' gun bill."", ""House Democrats pushing for 'no fly""]",['Subject(T) Verb(S)'],"[""House Democrats pushing for 'no...""]",
Example_4519,['poverty is growing'],"['soaring 64% over the past decade.', '. Poverty is growing faster in the suburbs than anywhere else in the United States']",['Subject(T) Verb(S)'],['. Poverty is growing faster in...'],
Example_2461,,['The federal government says it is nowhere close to an agreement with Ontario to provide money from its $1-billion long-term care fund...'],,['The federal government says it...'],
Example_745,['company thinks'],['Distracted too often by your smartphone? This company thinks it can help'],['Subject(T) Verb(S)'],['Distracted too often by your smartphone?...'],
Example_1827,['gave him a headache'],['18 World Cup opener brought soreness to his neck and gave him a headache.'],['Verb(S) Direct Object(T)'],['18 World Cup opener brought soreness...'],
Example_5415,,['Italy suspends friendship treaty with Libya'],,['Italy suspends friendship treaty...'],
Example_2103,,"['their more meaningful use is often by those several rungs down the fiscal ladder.', 'While guns are constantly in the hands of wealthy actors']",,['While guns are constantly in the...'],['several rungs down the fiscal ladder']
Example_5364,['time passes'],['Research in mice isolates neurons that affect perception of how quickly — or slowly — time passes'],['Subject(T) Verb(S)'],['Research in mice isolates neurons...'],
Example_4128,['Tax Dodger'],['Newburgh Lawmaker Indicted as Tax Dodger'],['Noun(T) Noun(S) Compound'],['Newburgh Lawmaker Indicted as Tax...'],
Example_937,['lift spirits'],['Singalongs From Windowsills Lift Spirits During Coronavirus Crisis'],['Verb(S) Direct Object(T)'],['Singalongs From Windowsills Lift...'],['Singalongs From Windowsills Lift Spirits']
Example_191,['war on guns'],"['and yet comparing the actual impact on Americans', ""and apparently don't care about gun death and injury."", ""it's staggering that we have this war on terror and spend so much money"", 'We have no war on guns']",['Noun(S) preposition Noun(T)'],"['We have no war on guns, and yet...']",
Example_2151,['icy fear'],['I felt the icy fear freezing your feet.'],['Adjective(S) Noun(T)'],['I felt the icy fear freezing your...'],
Example_101,['ascend to power'],['The visit … took place only four months after Castro overthrew Fulgencio Batista to ascend to power.'],['Verb(S) preposition Noun(T)'],['The visit … took place only four...'],
Example_93,,"['Dana Tizya-Tramm rose from personal depths to help the Vuntut Gwitchen become climate change trailblazers.', 'From an emergency declaration to a path toward net-zero']",,['From an emergency declaration to...'],
Example_3054,['pushed out of public education'],['Parents of immune-compromised kids say they’re being pushed out of public education system'],['Verb(S) preposition Noun(T)'],['Parents of immune-compromised kids...'],
Example_5547,['freedom is priceless'],['Freedom is priceless'],['Noun(T) copula Noun(S)'],['Freedom is priceless'],
Example_2520,['governmental machine'],['The immense inertia of the governmental machine will not yield readily to a new touch.'],['Adjective(S) Noun(T)'],['The immense inertia of the governmental...'],
Example_3552,,['I go where my path leads me.'],,['I go where my path leads me.'],
Example_3150,['wheels of business'],"['At the time', 'it was common for record companies to ""oil the wheels of business with extravagant parties to promote the newest \'find', '\' "" Damien Jaques wrote for the Journal.']",['Noun(S) of Noun(T)'],"['At the time, it was common for...']",
Example_3044,['drowning in debt'],['Nearly half of 18- to 34-year-olds feel like they are ‘drowning in debt’'],['Verb(S) preposition Noun(T)'],['Nearly half of 18- to 34-year-olds...'],
